Organism,Scientific name (simplified),Common_name,Refrence ID,RefSeq/Link,Genome,PMID/Publication,Family,Genus,Subgenus,Section,Species,Subspecies,Cultivar,Variety
Solanum tuberosum Group ajanhuiri accession PG6002,Solanum tuberosum,Landrace potato,PG6002,http://solomics.agis.org.cn/potato/species,PG6002,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group ajanhuiri,accession PG6002,
Solanum tuberosum Group goniocalyx accession PG6148,Solanum tuberosum,Landrace potato,PG6148,http://solomics.agis.org.cn/potato/species,PG6148,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group goniocalyx,accession PG6148,
Solanum tuberosum Group goniocalyx accession PG6163,Solanum tuberosum,Landrace potato,PG6163,http://solomics.agis.org.cn/potato/species,PG6163,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group goniocalyx,accession PG6163,
Solanum tuberosum Group phureja accession PG6169,Solanum tuberosum,Landrace potato,PG6169,http://solomics.agis.org.cn/potato/species,PG6169,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group phureja,accession PG6169,
Solanum tuberosum Group phureja accession PG6216,Solanum tuberosum,Landrace potato,PG6216,http://solomics.agis.org.cn/potato/species,PG6216,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group phureja,accession PG6216,
Solanum tuberosum Group phureja accession PG6225,Solanum tuberosum,Landrace potato,PG6225,http://solomics.agis.org.cn/potato/species,PG6225,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group phureja,accession PG6225,
Solanum tuberosum Group phureja accession PG6244,Solanum tuberosum,Landrace potato,PG6244,http://solomics.agis.org.cn/potato/species,PG6244,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group phureja,accession PG6244,
Solanum tuberosum Group phureja accession PG6245,Solanum tuberosum,Landrace potato,PG6245,http://solomics.agis.org.cn/potato/species,PG6245,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group phureja,accession PG6245,
Solanum tuberosum Group phureja accession PG6246,Solanum tuberosum,Landrace potato,PG6246,http://solomics.agis.org.cn/potato/species,PG6246,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group phureja,accession PG6246,
Solanum tuberosum Group phureja cv. E4-63,Solanum tuberosum,Inbred potato,E4-63,http://solomics.agis.org.cn/potato/species,E4-63,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group phureja,cv. E4-63,
Solanum tuberosum Group phureja cv. E86-69,Solanum tuberosum,Landrace potato,E86-69,http://solomics.agis.org.cn/potato/species,E86-69,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group phureja,cv. E86-69,
Solanum tuberosum Group stenotomum (Solanum stenotomum isolate F172),Solanum tuberosum,Wild potato (landraces?),GCF_019186545.1,GCF_019186545.1,ASM1918654v1,,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group stenotomum,isolate F172,
Solanum tuberosum Group stenotomum accession PG6029,Solanum tuberosum,Landrace potato,PG6029,http://solomics.agis.org.cn/potato/species,PG6029,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group stenotomum,accession PG6029,
Solanum tuberosum Group stenotomum accession PG6055,Solanum tuberosum,Landrace potato,PG6055,http://solomics.agis.org.cn/potato/species,PG6055,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group stenotomum,accession PG6055,
Solanum tuberosum Group stenotomum accession PG6059,Solanum tuberosum,Landrace potato,PG6059,http://solomics.agis.org.cn/potato/species,PG6059,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group stenotomum,accession PG6059,
Solanum tuberosum Group stenotomum accession PG6090,Solanum tuberosum,Landrace potato,PG6090,http://solomics.agis.org.cn/potato/species,PG6090,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group stenotomum,accession PG6090,
Solanum tuberosum Group stenotomum accession PG6359,Solanum tuberosum,Landrace potato,PG6359,http://solomics.agis.org.cn/potato/species,PG6359,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group stenotomum,accession PG6359,
Solanum tuberosum Group stenotomum cv. A6-26,Solanum tuberosum,Inbred potato,A6-26,http://solomics.agis.org.cn/potato/species,A6-26,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,Group stenotomum,cv. A6-26,
Solanum tuberosum Group tuberosum accession RH1015,Solanum tuberosum,Inbred potato,RH10-15,http://solomics.agis.org.cn/potato/species,RH10-15,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,,accession RH1015,
Solanum tuberosum Group tuberosum cv. RH,Solanum tuberosum,Landrace potato,RH,http://solomics.agis.org.cn/potato/species,RH,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,tuberosum,,cv. RH,
Solanum vernei accession PG4036,Solanum vernei,Wild potato,PG4036,http://solomics.agis.org.cn/potato/species,PG4036,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,vernei,,accession PG4036,
Solanum verrucosum,Solanum verrucosum,Wild potato,GCF_900185275.1,GCF_900185275.1,falcon-dt-bn,,Solanaceae,Solanum,Solanum sensu stricto,Petota,verrucosum,,,
